,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
85,USGS,02085070,2018-11-08 21:00,EST,148,P,2.42,P
86,USGS,02085070,2018-11-08 21:15,EST,148,P,2.42,P
87,USGS,02085070,2018-11-08 21:30,EST,148,P,2.42,P
88,USGS,02085070,2018-11-08 21:45,EST,148,P,2.42,P
89,USGS,02085070,2018-11-08 22:00,EST,148,P,2.42,P
90,USGS,02085070,2018-11-08 22:15,EST,146,P,2.41,P
91,USGS,02085070,2018-11-08 22:30,EST,146,P,2.41,P
92,USGS,02085070,2018-11-08 22:45,EST,146,P,2.41,P
93,USGS,02085070,2018-11-08 23:00,EST,146,P,2.41,P
94,USGS,02085070,2018-11-08 23:15,EST,144,P,2.40,P
95,USGS,02085070,2018-11-08 23:30,EST,144,P,2.40,P
96,USGS,02085070,2018-11-08 23:45,EST,144,P,2.40,P
97,USGS,02085070,2018-11-09 00:00,EST,144,P,2.40,P
98,USGS,02085070,2018-11-09 00:15,EST,144,P,2.40,P
99,USGS,02085070,2018-11-09 00:30,EST,143,P,2.39,P
100,USGS,02085070,2018-11-09 00:45,EST,143,P,2.39,P
101,USGS,02085070,2018-11-09 01:00,EST,143,P,2.39,P
102,USGS,02085070,2018-11-09 01:15,EST,143,P,2.39,P
103,USGS,02085070,2018-11-09 01:30,EST,143,P,2.39,P
104,USGS,02085070,2018-11-09 01:45,EST,143,P,2.39,P
105,USGS,02085070,2018-11-09 02:00,EST,141,P,2.38,P
106,USGS,02085070,2018-11-09 02:15,EST,141,P,2.38,P
107,USGS,02085070,2018-11-09 02:30,EST,141,P,2.38,P
108,USGS,02085070,2018-11-09 02:45,EST,141,P,2.38,P
109,USGS,02085070,2018-11-09 03:00,EST,141,P,2.38,P
110,USGS,02085070,2018-11-09 03:15,EST,139,P,2.37,P
111,USGS,02085070,2018-11-09 03:30,EST,139,P,2.37,P
112,USGS,02085070,2018-11-09 03:45,EST,139,P,2.37,P
113,USGS,02085070,2018-11-09 04:00,EST,139,P,2.37,P
114,USGS,02085070,2018-11-09 04:15,EST,139,P,2.37,P
115,USGS,02085070,2018-11-09 04:30,EST,139,P,2.37,P
116,USGS,02085070,2018-11-09 04:45,EST,139,P,2.37,P
117,USGS,02085070,2018-11-09 05:00,EST,139,P,2.37,P
118,USGS,02085070,2018-11-09 05:15,EST,139,P,2.37,P
119,USGS,02085070,2018-11-09 05:30,EST,139,P,2.37,P
120,USGS,02085070,2018-11-09 05:45,EST,139,P,2.37,P
121,USGS,02085070,2018-11-09 06:00,EST,139,P,2.37,P
122,USGS,02085070,2018-11-09 06:15,EST,139,P,2.37,P
123,USGS,02085070,2018-11-09 06:30,EST,139,P,2.37,P
124,USGS,02085070,2018-11-09 06:45,EST,139,P,2.37,P
125,USGS,02085070,2018-11-09 07:00,EST,139,P,2.37,P
126,USGS,02085070,2018-11-09 07:15,EST,139,P,2.37,P
127,USGS,02085070,2018-11-09 07:30,EST,139,P,2.37,P
128,USGS,02085070,2018-11-09 07:45,EST,139,P,2.37,P
129,USGS,02085070,2018-11-09 08:00,EST,139,P,2.37,P
130,USGS,02085070,2018-11-09 08:15,EST,139,P,2.37,P
131,USGS,02085070,2018-11-09 08:30,EST,139,P,2.37,P
132,USGS,02085070,2018-11-09 08:45,EST,139,P,2.37,P
133,USGS,02085070,2018-11-09 09:00,EST,139,P,2.37,P
134,USGS,02085070,2018-11-09 09:15,EST,139,P,2.37,P
